Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:369: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 13779 | step: 53400 | reward: -2.5163 | episode length: 4.369565217391305
episode: 13829 | step: 53600 | reward: -2.4230 | episode length: 3.96
episode: 13880 | step: 53800 | reward: -2.0833 | episode length: 3.9607843137254903
episode: 13935 | step: 54000 | reward: -2.2882 | episode length: 3.6
episode: 13988 | step: 54200 | reward: -2.3113 | episode length: 3.792452830188679
episode: 14040 | step: 54400 | reward: -2.1856 | episode length: 3.8461538461538463
episode: 14094 | step: 54600 | reward: -2.0991 | episode length: 3.7037037037037037
episode: 14146 | step: 54800 | reward: -2.8740 | episode length: 3.8653846153846154
episode: 14196 | step: 55000 | reward: -2.6310 | episode length: 3.92
episode: 14243 | step: 55200 | reward: -2.6266 | episode length: 4.319148936170213
episode: 14296 | step: 55400 | reward: -2.3934 | episode length: 3.7735849056603774
episode: 14346 | step: 55600 | reward: -2.0750 | episode length: 4.0
episode: 14394 | step: 55800 | reward: -2.2792 | episode length: 4.1875
episode: 14445 | step: 56000 | reward: -2.4627 | episode length: 3.9019607843137254
episode: 14499 | step: 56200 | reward: -2.5583 | episode length: 3.7037037037037037
episode: 14558 | step: 56400 | reward: -2.6517 | episode length: 3.3728813559322033
episode: 14614 | step: 56600 | reward: -2.5938 | episode length: 3.5892857142857144
episode: 14665 | step: 56800 | reward: -2.7206 | episode length: 3.9411764705882355
episode: 14713 | step: 57000 | reward: -2.2583 | episode length: 4.020833333333333
episode: 14766 | step: 57200 | reward: -2.4717 | episode length: 3.849056603773585
episode: 14817 | step: 57400 | reward: -2.3627 | episode length: 3.9607843137254903
episode: 14866 | step: 57600 | reward: -2.4082 | episode length: 4.081632653061225
episode: 14914 | step: 57800 | reward: -2.5323 | episode length: 4.125
episode: 14971 | step: 58000 | reward: -2.0623 | episode length: 3.508771929824561
episode: 15019 | step: 58200 | reward: -2.1802 | episode length: 4.166666666666667
episode: 15068 | step: 58400 | reward: -2.2449 | episode length: 4.122448979591836
episode: 15121 | step: 58600 | reward: -2.2340 | episode length: 3.792452830188679
episode: 15176 | step: 58800 | reward: -2.6382 | episode length: 3.6
episode: 15223 | step: 59000 | reward: -2.7543 | episode length: 4.23404255319149
episode: 15278 | step: 59200 | reward: -2.4627 | episode length: 3.690909090909091
episode: 15330 | step: 59400 | reward: -2.5442 | episode length: 3.8076923076923075
